"","date","lib","prix"
"337524",2013-02-12,"BIAT",64
"337525",2013-02-19,"BIAT",64
"337526",2013-02-26,"BIAT",64
"337527",2013-02-27,"BIAT",64
"337528",2013-06-04,"BIAT",64
"337529",2013-06-05,"BIAT",64
"337530",2013-07-03,"BIAT",64
"337531",2013-07-11,"BIAT",64
"337532",2013-07-18,"BIAT",64
"337533",2013-07-19,"BIAT",64
"337534",2013-07-22,"BIAT",64
"337535",2013-08-01,"BIAT",64
"337536",2013-08-12,"BIAT",64
"337537",2013-08-15,"BIAT",64
"337538",2013-08-20,"BIAT",64
"337539",2013-08-26,"BIAT",64
"337540",2013-08-28,"BIAT",64
"337541",2013-09-11,"BIAT",64
"337542",2013-09-16,"BIAT",64
"337543",2013-09-17,"BIAT",64
"337544",2013-09-18,"BIAT",64
"337546",2012-11-05,"BIAT",64
"337547",2012-11-26,"BIAT",64
"337572",2009-12-29,"BIAT",64
"337574",2009-12-30,"BIAT",64
"337576",2014-08-25,"BIAT",64.01
"337577",2013-07-17,"BIAT",64.01
"337586",2011-02-04,"BIAT",64.05
"337594",2014-10-23,"BIAT",64.1
"337595",2013-02-20,"BIAT",64.1
"337596",2013-03-07,"BIAT",64.1
"337598",2013-07-09,"BIAT",64.1
"337599",2009-12-31,"BIAT",64.1
"337602",2010-01-04,"BIAT",64.11
"337609",2013-08-16,"BIAT",64.14
"337610",2014-06-06,"BIAT",64.15
"337611",2013-07-08,"BIAT",64.16
"337612",2013-08-22,"BIAT",64.16
"337613",2013-08-23,"BIAT",64.16
"337628",2011-02-16,"BIAT",64.18
"337630",2014-09-17,"BIAT",64.2
"337631",2013-09-06,"BIAT",64.2
"337632",2013-09-09,"BIAT",64.2
"337642",2011-02-01,"BIAT",64.23
"337643",2013-08-27,"BIAT",64.23
"337648",2013-01-22,"BIAT",64.27
"337655",2014-09-09,"BIAT",64.3
"337656",2013-07-24,"BIAT",64.3
"337657",2013-08-02,"BIAT",64.3
"337658",2013-08-19,"BIAT",64.3
"337659",2013-08-21,"BIAT",64.3
"337660",2013-08-30,"BIAT",64.3
"337668",2014-04-23,"BIAT",64.33
"337671",2012-12-19,"BIAT",64.35
"337688",2014-02-12,"BIAT",64.48
"337689",2013-02-18,"BIAT",64.48
"337704",2014-02-10,"BIAT",64.5
"337706",2014-05-12,"BIAT",64.5
"337707",2014-05-20,"BIAT",64.5
"337708",2014-05-21,"BIAT",64.5
"337709",2013-01-25,"BIAT",64.5
"337710",2013-02-15,"BIAT",64.5
"337711",2013-02-22,"BIAT",64.5
"337712",2013-02-25,"BIAT",64.5
"337714",2013-06-03,"BIAT",64.5
"337715",2013-07-12,"BIAT",64.5
"337716",2013-07-15,"BIAT",64.5
"337717",2013-07-16,"BIAT",64.5
"337724",2013-07-04,"BIAT",64.51
"337736",2012-11-22,"BIAT",64.59
"337737",2012-11-23,"BIAT",64.59
"337749",2014-09-18,"BIAT",64.64
"337760",2012-11-20,"BIAT",64.7
"337761",2012-11-21,"BIAT",64.7
"337763",2014-05-23,"BIAT",64.75
"337773",2014-05-15,"BIAT",64.8
"337774",2014-05-16,"BIAT",64.8
"337775",2014-05-19,"BIAT",64.8
"337777",2012-09-26,"BIAT",64.8
"337787",2013-07-23,"BIAT",64.89
